_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
261,1997/98,S08000016, ,0-17 years,Male,Total,d,20, ,174.63, ,20, ,174.63, 
262,1997/98,S08000016, ,0-17 years,Female,Total,d,20, ,178.76, ,20, ,178.76, 
263,1997/98,S08000016, ,18-24 years,Male,Total,d,40, ,1122.65, ,20, ,561.32, 
264,1997/98,S08000016, ,18-24 years,Female,Total,d,20, ,566.89, ,10, ,283.45, 
265,1997/98,S08000016, ,25-39 years,Male,Total,d,90, ,815.37, ,60, ,543.58, 
266,1997/98,S08000016, ,25-39 years,Female,Total,d,90, ,800.85, ,50, ,444.92, 
267,1997/98,S08000016, ,40-64 years,Male,Total,d,140, ,840.29, ,80, ,480.16, 
268,1997/98,S08000016, ,40-64 years,Female,Total,d,110, ,631.06, ,70, ,401.58, 
269,1997/98,S08000016, ,65plus years,Male,Total,d,170, ,2080.53, ,100, ,1223.84, 
270,1997/98,S08000016, ,65plus years,Female,Total,d,240, ,2053.21, ,180, ,1539.91, 
271,1997/98,S08000017, ,0-17 years,Male,Total,d,60, ,360.36, ,50, ,300.3, 
272,1997/98,S08000017, ,0-17 years,Female,Total,d,40, ,250.23, ,30, ,187.68, 
273,1997/98,S08000017, ,18-24 years,Male,Total,d,30, ,607.9, ,20, ,405.27, 
274,1997/98,S08000017, ,18-24 years,Female,Total,d,20, ,413.31, ,20, ,413.31, 
275,1997/98,S08000017, ,25-39 years,Male,Total,d,120, ,791.92, ,90, ,593.94, 
276,1997/98,S08000017, ,25-39 years,Female,Total,d,140, ,895.14, ,90, ,575.45, 
277,1997/98,S08000017, ,40-64 years,Male,Total,d,150, ,634.6, ,110, ,465.37, 
278,1997/98,S08000017, ,40-64 years,Female,Total,d,200, ,818.06, ,130, ,531.74, 
279,1997/98,S08000017, ,65plus years,Male,Total,d,140, ,1225.6, ,100, ,875.43, 
