financial_year,health_board,age_group,sex,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf
1997,NHS Ayrshire and Arran,40-64,Female,430,NA,713.02,NA,290,NA,480.87,NA
1997,NHS Ayrshire and Arran,65+,Male,470,NA,1934.08,NA,300,NA,1234.52,NA
1997,NHS Ayrshire and Arran,65+,Female,620,NA,1686.25,NA,430,NA,1169.5,NA
1997,NHS Borders,0-17,Male,20,NA,174.63,NA,20,NA,174.63,NA
1997,NHS Borders,0-17,Female,20,NA,178.76,NA,20,NA,178.76,NA
1997,NHS Borders,18-24,Male,40,NA,1122.65,NA,20,NA,561.32,NA
1997,NHS Borders,18-24,Female,20,NA,566.89,NA,10,NA,283.45,NA
1997,NHS Borders,25-39,Male,90,NA,815.37,NA,60,NA,543.58,NA
1997,NHS Borders,25-39,Female,90,NA,800.85,NA,50,NA,444.92,NA
1997,NHS Borders,40-64,Male,140,NA,840.29,NA,80,NA,480.16,NA
1997,NHS Borders,40-64,Female,110,NA,631.06,NA,70,NA,401.58,NA
1997,NHS Borders,65+,Male,170,NA,2080.53,NA,100,NA,1223.84,NA
1997,NHS Borders,65+,Female,240,NA,2053.21,NA,180,NA,1539.91,NA
1997,NHS Dumfries and Galloway,0-17,Male,60,NA,360.36,NA,50,NA,300.3,NA
1997,NHS Dumfries and Galloway,0-17,Female,40,NA,250.23,NA,30,NA,187.68,NA
1997,NHS Dumfries and Galloway,18-24,Male,30,NA,607.9,NA,20,NA,405.27,NA
1997,NHS Dumfries and Galloway,18-24,Female,20,NA,413.31,NA,20,NA,413.31,NA
1997,NHS Dumfries and Galloway,25-39,Male,120,NA,791.92,NA,90,NA,593.94,NA
1997,NHS Dumfries and Galloway,25-39,Female,140,NA,895.14,NA,90,NA,575.45,NA
1997,NHS Dumfries and Galloway,40-64,Male,150,NA,634.6,NA,110,NA,465.37,NA
1997,NHS Dumfries and Galloway,40-64,Female,200,NA,818.06,NA,130,NA,531.74,NA
1997,NHS Dumfries and Galloway,65+,Male,140,NA,1225.6,NA,100,NA,875.43,NA
1997,NHS Dumfries and Galloway,65+,Female,180,NA,1138.52,NA,160,NA,1012.02,NA
1997,NHS Forth Valley,0-17,Male,20,NA,62.98,NA,10,NA,31.49,NA
1997,NHS Forth Valley,0-17,Female,10,NA,32.7,NA,10,NA,32.7,NA
1997,NHS Forth Valley,18-24,Male,120,NA,1001.84,NA,70,NA,584.4,NA
1997,NHS Forth Valley,18-24,Female,70,NA,570.17,NA,40,NA,325.81,NA
1997,NHS Forth Valley,25-39,Male,290,NA,948.05,NA,190,NA,621.14,NA
1997,NHS Forth Valley,25-39,Female,240,NA,752.8,NA,130,NA,407.77,NA
1997,NHS Forth Valley,40-64,Male,290,NA,692.67,NA,190,NA,453.82,NA
1997,NHS Forth Valley,40-64,Female,250,NA,572.27,NA,170,NA,389.14,NA
1997,NHS Forth Valley,65+,Male,220,NA,1326.42,NA,140,NA,844.09,NA
1997,NHS Forth Valley,65+,Female,400,NA,1616.29,NA,270,NA,1091,NA
1997,NHS Grampian,0-17,Male,80,NA,131.45,NA,80,NA,131.45,NA
1997,NHS Grampian,0-17,Female,60,NA,103.47,NA,60,NA,103.47,NA
1997,NHS Grampian,18-24,Male,200,NA,783.55,NA,140,NA,548.48,NA
1997,NHS Grampian,18-24,Female,120,NA,475.96,NA,80,NA,317.31,NA
1997,NHS Grampian,25-39,Male,390,NA,614.06,NA,290,NA,456.61,NA
1997,NHS Grampian,25-39,Female,340,NA,551.7,NA,240,NA,389.43,NA
1997,NHS Grampian,40-64,Male,540,NA,671.97,NA,370,NA,460.42,NA
1997,NHS Grampian,40-64,Female,460,NA,577.96,NA,320,NA,402.06,NA
1997,NHS Grampian,65+,Male,480,NA,1567.3,NA,310,NA,1012.21,NA
1997,NHS Grampian,65+,Female,650,NA,1438.85,NA,500,NA,1106.81,NA
1997,NHS Highland,0-17,Male,40,NA,114.07,NA,40,NA,114.07,NA
1997,NHS Highland,0-17,Female,50,NA,151.42,NA,40,NA,121.14,NA
1997,NHS Highland,18-24,Male,110,NA,961.37,NA,80,NA,699.18,NA
1997,NHS Highland,18-24,Female,70,NA,695.83,NA,60,NA,596.42,NA
1997,NHS Highland,25-39,Male,360,NA,1126.27,NA,250,NA,782.13,NA
1997,NHS Highland,25-39,Female,290,NA,905.66,NA,200,NA,624.59,NA
1997,NHS Highland,40-64,Male,620,NA,1284.84,NA,400,NA,828.93,NA
1997,NHS Highland,40-64,Female,380,NA,776.62,NA,260,NA,531.37,NA
1997,NHS Highland,65+,Male,410,NA,2025.29,NA,250,NA,1234.93,NA
1997,NHS Highland,65+,Female,500,NA,1707.88,NA,330,NA,1127.2,NA
1997,NHS Lothian,0-17,Male,130,NA,156.69,NA,120,NA,144.64,NA
1997,NHS Lothian,0-17,Female,100,NA,125.81,NA,80,NA,100.65,NA
1997,NHS Lothian,18-24,Male,240,NA,642.83,NA,180,NA,482.12,NA
1997,NHS Lothian,18-24,Female,200,NA,523.48,NA,120,NA,314.09,NA
1997,NHS Lothian,25-39,Male,830,NA,890.19,NA,540,NA,579.16,NA
1997,NHS Lothian,25-39,Female,930,NA,955.38,NA,530,NA,544.47,NA
